Item Internal Id,,Price level,Unit Price,Internal Id,external Id
159,,EquaGel 1,317.46,19893,19893
160,,EquaGel 1,317.46,19893,19893
161,,EquaGel 1,317.46,19893,19893
162,,EquaGel 1,317.46,19893,19893
163,,EquaGel 1,317.46,19893,19893
164,,EquaGel 1,317.46,19893,19893
165,,EquaGel 1,317.46,19893,19893
166,,EquaGel 1,317.46,19893,19893
168,,EquaGel 1,397.46,19893,19893
172,,EquaGel 1,44.06,19893,19893
24854,,EquaGel 1,44.06,19893,19893
173,,EquaGel 1,44.06,19893,19893
174,,EquaGel 1,44.06,19893,19893
175,,EquaGel 1,44.06,19893,19893
177,,EquaGel 1,44.06,19893,19893
178,,EquaGel 1,44.06,19893,19893
7917,,EquaGel 1,44.06,19893,19893
179,,EquaGel 1,44.06,19893,19893
181,,EquaGel 1,44.06,19893,19893
182,,EquaGel 1,44.06,19893,19893
183,,EquaGel 1,44.06,19893,19893
184,,EquaGel 1,44.06,19893,19893
185,,EquaGel 1,44.06,19893,19893
186,,EquaGel 1,44.06,19893,19893
187,,EquaGel 1,44.06,19893,19893
188,,EquaGel 1,44.06,19893,19893
189,,EquaGel 1,44.06,19893,19893
36840,,EquaGel 1,68.7,19893,19893
36841,,EquaGel 1,68.7,19893,19893
1060,,Discount 20%,214.4,19893,19893
1068,,Discount 15%,420.75,19893,19893
1082,,Discount 10%,1930.5,19893,19893
198,,Discount 22.5%,92.96,19893,19893
199,,Discount 22.5%,116.21,19893,19893
200,,Discount 22.5%,231.73,19893,19893
201,,Discount 22.5%,77.46,19893,19893
205,,Discount 22.5%,168.18,19893,19893
206,,Discount 25%,156.75,19893,19893
207,,Discount 22.5%,189.1,19893,19893
209,,Discount 15%,160.65,19893,19893
3821,,Discount 10%,8995.5,19893,19893
40995,,Discount 15%,27.88,19893,19893
40996,,Discount 15%,153.43,19893,19893
4551,,Discount 22.5%,41.85,19893,19893
4552,,Discount 22.5%,38.21,19893,19893
4554,,Discount 22.5%,55.1,19893,19893
4555,,Discount 22.5%,39.68,19893,19893
4556,,Discount 22.5%,19.07,19893,19893
4557,,Discount 22.5%,23.48,19893,19893
4558,,Discount 22.5%,26.43,19893,19893
4559,,Discount 22.5%,30.15,19893,19893
4569,,Discount 25%,70.88,19893,19893
4570,,Discount 25%,70.88,19893,19893
4668,,Discount 22.5%,18.52,19893,19893
33403,,Discount 25%,37.46,19893,19893
1910,,Discount 15%,28.65,19893,19893
1918,,Discount 15%,44.12,19893,19893
1919,,Discount 15%,50.07,19893,19893
1920,,Discount 15%,69.36,19893,19893
1924,,Discount 20%,67.36,19893,19893
1927,,Discount 15%,36.55,19893,19893
1929,,Discount 15%,42.08,19893,19893
1954,,Discount 25%,33,19893,19893
1993,,Discount 20%,9.52,19893,19893
1089,,Discount 05%,451.25,19893,19893
1090,,Discount 10%,355.5,19893,19893
9527,,Discount 10%,355.5,19893,19893
7154,,Discount 20%,32.32,19893,19893
4389,,Discount 15%,5490.15,19893,19893
3977,,Discount 20%,48,19893,19893
3978,,Discount 20%,48,19893,19893
3979,,Discount 20%,48,19893,19893
3980,,Discount 20%,48,19893,19893
3981,,Discount 20%,48,19893,19893
3982,,Discount 20%,51.6,19893,19893
3983,,Discount 20%,51.6,19893,19893
3986,,Discount 15%,8.93,19893,19893
3987,,Discount 15%,8.93,19893,19893
3988,,Discount 15%,8.93,19893,19893
3989,,Discount 15%,8.93,19893,19893
3991,,Discount 20%,136.72,19893,19893
3992,,Discount 20%,136.72,19893,19893
3993,,Discount 20%,136.72,19893,19893
3994,,Discount 20%,136.72,19893,19893
3995,,Discount 20%,38,19893,19893
3996,,Discount 20%,60.72,19893,19893
3997,,Discount 20%,17.44,19893,19893
3998,,Discount 20%,75.92,19893,19893
3999,,Discount 20%,98.8,19893,19893
4000,,Discount 20%,34.16,19893,19893
4001,,Discount 20%,121.52,19893,19893
4002,,Discount 20%,16.72,19893,19893
4003,,Discount 20%,79.44,19893,19893
4004,,Discount 20%,90.88,19893,19893
4005,,Discount 20%,105.28,19893,19893
4006,,Discount 20%,117.44,19893,19893
4007,,Discount 20%,132.64,19893,19893
4008,,Discount 20%,15.12,19893,19893
4009,,Discount 20%,18.96,19893,19893
4010,,Discount 20%,20.48,19893,19893
4011,,Discount 20%,22.8,19893,19893
4013,,Discount 22.5%,14.34,19893,19893
4014,,Discount 22.5%,14.34,19893,19893
4015,,Discount 22.5%,14.34,19893,19893
4016,,Discount 22.5%,14.34,19893,19893
4035,,Discount 25%,24.38,19893,19893
7179,,Discount 25%,24.75,19893,19893
7641,,Discount 25%,27,19893,19893
7142,,Discount 25%,269.25,19893,19893
1244,,Discount 25%,291.75,19893,19893
577,,Discount 15%,3130.55,19893,19893
19349,,Discount 15%,7639.8,19893,19893
4111,,Discount 25%,42.68,19893,19893
4112,,Discount 22.5%,55.8,19893,19893
4118,,Discount 25%,217.5,19893,19893
4120,,Discount 20%,239.2,19893,19893
4121,,Discount 15%,137.63,19893,19893
4122,,Discount 25%,42.75,19893,19893
4131,,Discount 25%,14.93,19893,19893
4133,,Discount 20%,55.6,19893,19893
6264,,ZDealer,416.5,19893,19893
6266,,Discount 15%,72.25,19893,19893
276,,Discount 15%,254.15,19893,19893
4683,,Discount 20%,476,19893,19893
4145,,Discount 10%,3599.1,19893,19893
5881,,Discount 20%,16.8,19893,19893
5882,,Discount 20%,16.8,19893,19893
5884,,Discount 20%,22.4,19893,19893
5935,,Discount 15%,11.48,19893,19893
5971,,Discount 22.5%,110.83,19893,19893
4165,,Discount 22.5%,384.4,19893,19893
4167,,Discount 20%,454.4,19893,19893
7739,,Discount 25%,446.25,19893,19893
4229,,Discount 22.5%,2669.88,19893,19893
4231,,Discount 22.5%,3379,19893,19893
6010,,Discount 25%,1308.75,19893,19893
9029,,Discount 20%,1588,19893,19893
6021,,Discount 10%,3918.6,19893,19893
4250,,Discount 20%,21.2,19893,19893
4251,,Discount 20%,24,19893,19893
4252,,Discount 20%,26.88,19893,19893
4253,,Discount 20%,30,19893,19893
4254,,Discount 20%,31.04,19893,19893
